
MC properties:
   MC Sweeps:       70000
   Mesh disp:       1.500000
   Bias type:       Minimum
   Bias strength:   20.000000
   Bias location:   29.304348
   InitialHeight:   29.304348
   RandSeed:        2
   Boundary Cond:   Frame

Mesh Properties:
   Bending Modulus: 20.000000
   Lx:              840.000000
   Ly:              840.000000
   Node nums in x:  70
   Node nums in y:  70

Particle Properties:
   Ptype num:       3
   Lengths:         3.5 17.5 20.0 7.5 17.5 30.0
   Binding str:     10.5 0.0 4.75
   Binding ranges:  4.0 0.0 4.0
   Densities:       200.0 4000.0 500.0 200.0 7520.0 480.0
   PDiam:           4.000000

Output Options:
   Tag:             Z_29.304347826086957
   OutputDir:       ../Simulation_Results/
   Framenums:       0
   Datanums:        50000
   Histbnums:       0

Restart Info:
   Inputfilename:   None
   Equil option:    No

Error Check:        Naw

#Sweep(1) TAcc(2) NAcc(3) SHAcc(4) TotE(5) MeshE(6) BiasE(7) Veff(8) ZBot(9) ZTop(10) TotAreaBot(11) TotAreaTop(12) TotPop(13) TotPopBot(14) TotPopTop(15) ThetaValTop(16) ThetaValBot(17) NBot1(18) NBot2(19) NBot3(20) NTop1(21) NTop2(22) NTop3(23) Bonds1(24) Bonds2(25) Bonds3(26) 
66 0.56 0.56 0.51 2466.365570 2299.094746 0.801100 166.469724 -17.427990 18.239020 705600.000000 708840.148300 1007.504709 361.737461 645.767248 29.482766 0.405515 16.221712 309.574557 35.941191 16.230744 593.404660 36.131843 0.000000 0.000000 0.000000 
67 0.56 0.56 0.53 2501.891055 2359.263885 6.060660 136.566511 -17.797845 18.238722 705600.000000 708868.353733 1008.284290 363.003840 645.280450 29.852621 0.220438 16.125057 310.909309 35.969473 16.130563 593.237641 35.912246 0.000000 0.000000 0.000000 
68 0.56 0.56 0.53 2350.574841 2219.809365 0.587944 130.177532 -17.855488 18.264038 705600.000000 708751.272926 1008.464738 363.289269 645.175469 29.469608 0.204275 16.104381 311.203955 35.980934 16.109195 593.217403 35.848871 0.000000 0.000000 0.000000 
69 0.56 0.56 0.53 2351.951557 2237.199928 0.850415 113.901215 -18.072234 18.284657 705600.000000 708769.130911 1008.872094 363.961763 644.910331 29.099514 0.106211 16.051547 311.880783 36.029433 16.054675 593.110050 35.745606 0.000000 0.000000 0.000000 
70 0.56 0.56 0.53 2365.065029 2251.082373 0.851926 113.130730 -18.072234 18.298437 705600.000000 708822.091056 1008.897988 364.001110 644.896878 29.099514 0.113101 16.048999 311.905013 36.047098 16.052128 593.113055 35.731695 0.000000 0.000000 0.000000 
71 0.56 0.56 0.52 2357.515891 2244.341198 0.067379 113.107314 -18.072234 18.307092 705600.000000 708784.384306 1008.898975 364.002338 644.896637 29.252584 0.117429 16.048567 311.911692 36.042079 16.052044 593.113432 35.731160 0.000000 0.000000 0.000000 
72 0.56 0.56 0.52 2365.783981 2252.643330 0.068299 113.072352 -18.072234 18.314800 705600.000000 708802.334593 1008.896531 364.001713 644.894818 29.252584 0.121283 16.048713 311.868506 36.084494 16.051976 593.111620 35.731222 0.000000 0.000000 0.000000 
73 0.56 0.56 0.53 2397.013773 2299.497666 0.025970 97.490137 -18.332090 18.317912 705600.000000 708849.739435 1009.285573 364.647747 644.637826 29.340348 -0.007089 15.997417 312.425905 36.224426 15.999904 593.013661 35.624261 0.000000 0.000000 0.000000 
74 0.56 0.56 0.54 2330.595021 2236.950160 0.457298 93.187563 -18.332090 18.427203 705600.000000 708812.117686 1009.390859 364.825638 644.565221 29.455185 0.047557 15.983664 312.526865 36.315109 15.985590 592.986689 35.592942 0.000000 0.000000 0.000000 
75 0.56 0.56 0.53 2353.875498 2261.262353 0.458200 92.154946 -18.332090 18.444573 705600.000000 708845.640754 1009.416037 364.868275 644.547762 29.455185 0.056242 15.979910 312.550755 36.337611 15.982156 592.980633 35.584973 0.000000 0.000000 0.000000 
76 0.56 0.56 0.53 2327.843503 2235.328953 0.458712 92.055838 -18.332090 18.453344 705600.000000 708835.614823 1009.417254 364.871614 644.545639 29.455185 0.060627 15.980078 312.536225 36.355310 15.981844 592.979037 35.584759 0.000000 0.000000 0.000000 
77 0.56 0.56 0.52 2355.939334 2262.688737 0.459412 92.791186 -18.332090 18.464384 705600.000000 708904.123776 1009.397267 364.839961 644.557306 29.455185 0.066147 15.982126 312.493258 36.364576 15.984319 592.983142 35.589845 0.000000 0.000000 0.000000 
78 0.56 0.56 0.53 2332.742220 2250.111726 4.155757 78.474737 -18.332090 18.764367 705600.000000 708906.106228 1009.756122 365.437228 644.318894 29.757616 0.216139 15.935469 312.943337 36.558422 15.936566 592.897743 35.484584 0.000000 0.000000 0.000000 
79 0.56 0.56 0.53 2352.920934 2269.505868 4.154959 79.260107 -18.332090 18.760658 705600.000000 708906.997567 1009.735278 365.403737 644.331541 29.757616 0.214284 15.937918 312.903583 36.562235 15.939202 592.902069 35.490269 0.000000 0.000000 0.000000 
80 0.56 0.56 0.54 2372.333380 2296.834781 0.128030 75.370569 -18.415462 18.751900 705600.000000 708961.128357 1009.830649 365.564672 644.265978 29.233732 0.168219 15.925029 312.998245 36.641398 15.926260 592.878221 35.461497 0.000000 0.000000 0.000000 
81 0.56 0.56 0.54 2420.286842 2343.135330 0.763056 76.388456 -18.415462 18.745593 705600.000000 708955.783356 1009.804460 365.521783 644.282677 29.496156 0.165065 15.928514 312.957024 36.636245 15.929665 592.883852 35.469161 0.000000 0.000000 0.000000 
82 0.56 0.56 0.54 2385.805298 2309.392112 0.763391 75.649794 -18.415462 18.747615 705600.000000 708964.202279 1009.824413 365.553501 644.270912 29.496156 0.166076 15.925816 312.999760 36.627926 15.927180 592.880319 35.463413 0.000000 0.000000 0.000000 
